"Deshaun Watson"
"Patrick Mahomes"
"Tom Brady"
"Matt Ryan"
"Josh Allen"
"Justin Herbert"
"Aaron Rodgers"
"Kirk Cousins"
"Russell Wilson"
"Philip Rivers"
"Derek Carr"
"Matthew Stafford"
"Kyler Murray"
"Jared Goff"
"Ryan Tannehill"
"Ben Roethlisberger"
"Teddy Bridgewater"
"Baker Mayfield"
"Daniel Jones"
"Drew Brees"
"Drew Lock"
"Lamar Jackson"
"Joe Burrow"
"Cam Newton"
"Carson Wentz"
"Nick Mullens"
"Gardner Minshew"
"Sam Darnold"
"Andy Dalton"
"Ryan Fitzpatrick"
"Mitchell Trubisky"
"Dak Prescott"
"Nick Foles"
"Tua Tagovailoa"
"Alex Smith"
"Dwayne Haskins"
"Jimmy Garoppolo"
"Mike Glennon"
"Jalen Hurts"
"Taysom Hill"
"Brandon Allen"
"Joe Flacco"
"C.J. Beathard"
"Jake Luton"
"Kyle Allen"
"Jeff Driskel"
"Colt McCoy"
"P.J. Walker"
"Mason Rudolph"
"Brett Rypien"
"Chase Daniel"
"Jarrett Stidham"
"Chad Henne"
"Garrett Gilbert"
"John Wolford"
"Marcus Mariota"
"Ben DiNucci"
"Tyrod Taylor"
"Matt Barkley"
"Ryan Finley"
"Blaine Gabbert"
"Taylor Heinicke"
"Brian Hoyer"
"Chris Streveler"
"Trace McSorley"
"Jameis Winston"
"Jarvis Landry"
"David Blough"
"Case Keenum"
"Jakobi Meyers"
"Jamison Crowder"
"Robert Griffin III"
"Russell Gage"
"Julian Edelman"
"Geno Smith"
"Nate Sudfeld"
"Lynn Bowden"
"Zay Jones"
"Logan Thomas"
"Joseph Charlton"
"Andy Lee"
"Nathan Peterman"
"Ced Wilson"
"AJ McCarron"
"Cole Beasley"
"Golden Tate"
"Tyler Bray"
"Odell Beckham Jr."
"Jacoby Brissett"
"Tyler Boyd"
"Greg Ward"
"Sam Koch"
"Tyler Huntley"
"Tommy Townsend"
"Jaquan Johnson"
"Kendall Hinton"
"Isaiah McKenzie"
"Logan Woodside"
"Easton Stick"
"Travis Kelce"
"Joshua Dobbs"
